,region,birth,death_children,marriage,divorce,year,month
5,Российская Федерация,152066,1435,91519,53033,2012,07
6,Центральный федеральный округ,34821,284,21409,13891,2012,07
7,Белгородская область,1412,11,726,538,2012,07
8,Брянская область,1104,12,619,451,2012,07
9,Владимирская область,1301,7,740,547,2012,07
10,Воронежская область,1913,8,1028,855,2012,07
11,Ивановская область,870,7,556,386,2012,07
12,Калужская область,904,12,504,350,2012,07
13,Костромская область,686,6,384,229,2012,07
14,Курская область,1033,10,583,436,2012,07
15,Липецкая область,1014,13,518,423,2012,07
17,Орловская область,668,7,396,317,2012,07
18,Рязанская область,986,4,450,363,2012,07
19,Смоленская область,794,9,621,420,2012,07
20,Тамбовская область,793,3,369,342,2012,07
21,Тверская область,1233,8,796,504,2012,07
22,Тульская область,1148,8,737,606,2012,07
23,Ярославская область,1200,12,773,497,2012,07
25,Северо-Западный федеральный округ,13621,101,10026,5706,2012,07
26,Республика Карелия,613,2,441,272,2012,07
27,Республика Коми,986,6,738,387,2012,07
28,Архангельская область,1262,16,847,484,2012,07
29,Hенецкий авт.округ,56,0,28,15,2012,07
30,Вологодская область,1338,15,834,454,2012,07
31,Калининградская область,973,3,753,430,2012,07
32,Ленинградская область,1235,13,919,655,2012,07
33,Мурманская область,730,6,698,428,2012,07
34,Новгородская область,715,5,453,225,2012,07
35,Псковская область,605,8,395,266,2012,07
36,г.Санкт-Петербург,5164,27,3948,2105,2012,07
37,Южный федеральный округ,13785,117,8139,4989,2012,07
38,Республика Адыгея,428,3,251,156,2012,07
39,Республика Калмыкия,309,3,159,83,2012,07
40,Краснодарский край,5526,31,3437,2018,2012,07
41,Астраханская область,1205,18,645,417,2012,07
42,Волгоградская область,2434,22,1347,943,2012,07
43,Ростовская область,3883,40,2300,1372,2012,07
44,Северо-Кавказский федеральный округ,13394,248,5861,2014,2012,07
45,Республика Дагестан,5108,89,2062,420,2012,07
46,Республика Ингушетия,832,11,203,49,2012,07
47,Кабардино-Балкарская Республика,999,10,589,233,2012,07
48,Карачаево-Черкесская Республика,522,3,322,134,2012,07
49,Республика Северная Осетия- Алания,796,13,505,157,2012,07
50,Чеченская Республика,2472,69,761,121,2012,07
51,Ставропольский край,2665,53,1419,900,2012,07
52,Приволжский федеральный округ,31303,252,17463,10620,2012,07
53,Республика Башкортостан,4868,41,2651,1434,2012,07
54,Республика Марий Эл,675,3,416,228,2012,07
55,Республика Мордовия,625,3,256,263,2012,07
56,Республика Татарстан(Татарстан),4562,35,2531,1123,2012,07
57,Удмуртская Республика,1837,10,981,439,2012,07
58,Чувашская Республика(Чувашия),1400,11,561,382,2012,07
59,Пермский край,3046,23,1924,974,2012,07
60,Кировская область,1320,9,879,500,2012,07
61,Hижегородская область,3107,27,1517,1195,2012,07
62,Оренбургская область,2254,28,1187,774,2012,07
63,Пензенская область,1105,8,569,531,2012,07
64,Самарская область,3192,26,1865,1310,2012,07
65,Саратовская область,2158,19,1403,931,2012,07
66,Ульяновская область,1154,9,723,536,2012,07
67,Уральский федеральный округ,14827,109,9260,5388,2012,07
68,Курганская область,936,5,610,385,2012,07
69,Свердловская область,4998,32,3195,1734,2012,07
70,Тюменская область,4915,33,3001,1774,2012,07
71,Ханты-Мансийский авт.округ-Югра,2306,9,1374,861,2012,07
72,Ямало-Hенецкий авт.округ,826,10,531,331,2012,07
73,Челябинская область,3978,39,2454,1495,2012,07
74,Сибирский федеральный округ,23163,231,13882,7677,2012,07
75,Республика Алтай,389,3,138,82,2012,07
76,Республика Бурятия,1459,13,641,371,2012,07
77,Республика Тыва,639,15,270,46,2012,07
78,Республика Хакасия,641,14,354,229,2012,07
79,Алтайский край,2539,33,1638,856,2012,07
80,Забайкальский край,1424,5,768,433,2012,07
81,Красноярский край,3286,43,2050,1062,2012,07
82,Иркутская область,3078,21,1719,1140,2012,07
83,Кемеровская область,2974,28,2136,1107,2012,07
84,Новосибирская область,3137,24,1918,1203,2012,07
85,Омская область,2344,17,1467,703,2012,07
86,Томская область,1253,15,783,445,2012,07
87,Дальневосточный федеральный округ,7152,93,5479,2748,2012,07
88,Республика Саха (Якутия),1452,24,987,350,2012,07
89,Камчатский край,326,4,319,175,2012,07
90,Приморский край,2028,22,1490,769,2012,07
91,Хабаровский край,1547,21,1162,660,2012,07
92,Амурская область,878,16,705,347,2012,07
93,Магаданская область,149,0,180,80,2012,07
94,Сахалинская область,502,2,465,266,2012,07
95,Еврейская автономная область,209,4,117,79,2012,07
96,Чукотский авт.округ,61,0,54,22,2012,07
